dwangmiddel,boete,jaar,aantal
Rijbewijs,Snelheid,2010,69610
Rijbewijs,Parkeren/stilstaan,2010,21707
Rijbewijs,Verkeerslichten,2010,7100
Rijbewijs,Overigen,2010,91351
Rijbewijs,Totaal,2010,189768
Voertuig,Snelheid,2010,57626
Voertuig,Parkeren/stilstaan,2010,16974
Voertuig,Verkeerslichten,2010,4570
Voertuig,Overigen,2010,66963
Voertuig,Totaal,2010,146133
Gijzeling,Snelheid,2010,18314
Gijzeling,Parkeren/stilstaan,2010,6242
Gijzeling,Verkeerslichten,2010,2744
Gijzeling,Overigen,2010,34450
Gijzeling,Totaal,2010,61750
Pro forma,Snelheid,2010,41191
Pro forma,Parkeren/stilstaan,2010,11336
Pro forma,Verkeerslichten,2010,3730
Pro forma,Overigen,2010,43985
Pro forma,Totaal,2010,100242
Totaal,Snelheid,2010,186741
Totaal,Parkeren/stilstaan,2010,56259
Totaal,Verkeerslichten,2010,18144
Totaal,Overigen,2010,236749
Totaal,Totaal,2010,497893
Rijbewijs,Snelheid,2011,63088
Rijbewijs,Parkeren/stilstaan,2011,21382
Rijbewijs,Verkeerslichten,2011,6885
Rijbewijs,Overigen,2011,86989
Rijbewijs,Totaal,2011,178344
Voertuig,Snelheid,2011,52454
Voertuig,Parkeren/stilstaan,2011,16971
Voertuig,Verkeerslichten,2011,4600
Voertuig,Overigen,2011,65934
Voertuig,Totaal,2011,139959
Gijzeling,Snelheid,2011,20891
Gijzeling,Parkeren/stilstaan,2011,7092
Gijzeling,Verkeerslichten,2011,3135
Gijzeling,Overigen,2011,38554
Gijzeling,Totaal,2011,69672
Pro forma,Snelheid,2011,21379
Pro forma,Parkeren/stilstaan,2011,7336
Pro forma,Verkeerslichten,2011,2695
Pro forma,Overigen,2011,31461
Pro forma,Totaal,2011,62871
Totaal,Snelheid,2011,157812
Totaal,Parkeren/stilstaan,2011,52781
Totaal,Verkeerslichten,2011,17315
Totaal,Overigen,2011,222938
Totaal,Totaal,2011,450846
Rijbewijs,Snelheid,2012,73779
Rijbewijs,Parkeren/stilstaan,2012,25018
Rijbewijs,Verkeerslichten,2012,7695
Rijbewijs,Overigen,2012,142578
Rijbewijs,Totaal,2012,249070
Voertuig,Snelheid,2012,57961
Voertuig,Parkeren/stilstaan,2012,19144
Voertuig,Verkeerslichten,2012,4980
Voertuig,Overigen,2012,96469
Voertuig,Totaal,2012,178554
Gijzeling,Snelheid,2012,17836
Gijzeling,Parkeren/stilstaan,2012,6610
Gijzeling,Verkeerslichten,2012,2738
Gijzeling,Overigen,2012,36998
Gijzeling,Totaal,2012,64182
Pro forma,Snelheid,2012,22234
Pro forma,Parkeren/stilstaan,2012,7684
Pro forma,Verkeerslichten,2012,2528
Pro forma,Overigen,2012,38113
Pro forma,Totaal,2012,70559
Totaal,Snelheid,2012,171810
Totaal,Parkeren/stilstaan,2012,58456
Totaal,Verkeerslichten,2012,17941
Totaal,Overigen,2012,314158
Totaal,Totaal,2012,562365
Rijbewijs,Snelheid,2013,81985
Rijbewijs,Parkeren/stilstaan,2013,21648
Rijbewijs,Verkeerslichten,2013,7267
Rijbewijs,Overigen,2013,161304
Rijbewijs,Totaal,2013,272204
Voertuig,Snelheid,2013,69570
Voertuig,Parkeren/stilstaan,2013,19180
Voertuig,Verkeerslichten,2013,5633
Voertuig,Overigen,2013,149470
Voertuig,Totaal,2013,243853
Gijzeling,Snelheid,2013,25060
Gijzeling,Parkeren/stilstaan,2013,8245
Gijzeling,Verkeerslichten,2013,3170
Gijzeling,Overigen,2013,80480
Gijzeling,Totaal,2013,116955
Pro forma,Snelheid,2013,26069
Pro forma,Parkeren/stilstaan,2013,6622
Pro forma,Verkeerslichten,2013,2287
Pro forma,Overigen,2013,42512
Pro forma,Totaal,2013,77490
Totaal,Snelheid,2013,202684
Totaal,Parkeren/stilstaan,2013,55695
Totaal,Verkeerslichten,2013,18357
Totaal,Overigen,2013,433766
Totaal,Totaal,2013,710502
Rijbewijs,Snelheid,2014,83209
Rijbewijs,Parkeren/stilstaan,2014,19888
Rijbewijs,Verkeerslichten,2014,5548
Rijbewijs,Overigen,2014,123390
Rijbewijs,Totaal,2014,232035
Voertuig,Snelheid,2014,77976
Voertuig,Parkeren/stilstaan,2014,18066
Voertuig,Verkeerslichten,2014,4521
Voertuig,Overigen,2014,117091
Voertuig,Totaal,2014,217654
Gijzeling,Snelheid,2014,34207
Gijzeling,Parkeren/stilstaan,2014,9211
Gijzeling,Verkeerslichten,2014,3405
Gijzeling,Overigen,2014,41346
Gijzeling,Totaal,2014,88169
Pro forma,Snelheid,2014,27433
Pro forma,Parkeren/stilstaan,2014,6251
Pro forma,Verkeerslichten,2014,2105
Pro forma,Overigen,2014,28100
Pro forma,Totaal,2014,63889
Totaal,Snelheid,2014,222825
Totaal,Parkeren/stilstaan,2014,53416
Totaal,Verkeerslichten,2014,15579
Totaal,Overigen,2014,309927
Totaal,Totaal,2014,601747
Rijbewijs,Snelheid,2015,61439
Rijbewijs,Parkeren/stilstaan,2015,14407
Rijbewijs,Verkeerslichten,2015,4748
Rijbewijs,Overigen,2015,106881
Rijbewijs,Totaal,2015,187475
Voertuig,Snelheid,2015,55847
Voertuig,Parkeren/stilstaan,2015,13145
Voertuig,Verkeerslichten,2015,3638
Voertuig,Overigen,2015,90341
Voertuig,Totaal,2015,162971
Gijzeling,Snelheid,2015,8053
Gijzeling,Parkeren/stilstaan,2015,2120
Gijzeling,Verkeerslichten,2015,696
Gijzeling,Overigen,2015,16521
Gijzeling,Totaal,2015,27390
Pro forma,Snelheid,2015,2259
Pro forma,Parkeren/stilstaan,2015,528
Pro forma,Verkeerslichten,2015,201
Pro forma,Overigen,2015,2850
Pro forma,Totaal,2015,5838
Totaal,Snelheid,2015,127598
Totaal,Parkeren/stilstaan,2015,30200
Totaal,Verkeerslichten,2015,9283
Totaal,Overigen,2015,216593
Totaal,Totaal,2015,383674
Rijbewijs,Snelheid,2016,55825
Rijbewijs,Parkeren/stilstaan,2016,11466
Rijbewijs,Verkeerslichten,2016,4542
Rijbewijs,Overigen,2016,90954
Rijbewijs,Totaal,2016,162787
Voertuig,Snelheid,2016,49545
Voertuig,Parkeren/stilstaan,2016,9767
Voertuig,Verkeerslichten,2016,3435
Voertuig,Overigen,2016,83961
Voertuig,Totaal,2016,146708
Gijzeling,Snelheid,2016,208
Gijzeling,Parkeren/stilstaan,2016,48
Gijzeling,Verkeerslichten,2016,37
Gijzeling,Overigen,2016,688
Gijzeling,Totaal,2016,981
Pro forma,Snelheid,2016,0
Pro forma,Parkeren/stilstaan,2016,0
Pro forma,Verkeerslichten,2016,0
Pro forma,Overigen,2016,0
Pro forma,Totaal,2016,0
Totaal,Snelheid,2016,105578
Totaal,Parkeren/stilstaan,2016,21281
Totaal,Verkeerslichten,2016,8014
Totaal,Overigen,2016,175603
Totaal,Totaal,2016,310476
Rijbewijs,Snelheid,2017,52176
Rijbewijs,Parkeren/stilstaan,2017,9678
Rijbewijs,Verkeerslichten,2017,4711
Rijbewijs,Overigen,2017,73951
Rijbewijs,Totaal,2017,140516
Voertuig,Snelheid,2017,47809
Voertuig,Parkeren/stilstaan,2017,8676
Voertuig,Verkeerslichten,2017,3739
Voertuig,Overigen,2017,67546
Voertuig,Totaal,2017,127770
Gijzeling,Snelheid,2017,311
Gijzeling,Parkeren/stilstaan,2017,88
Gijzeling,Verkeerslichten,2017,55
Gijzeling,Overigen,2017,906
Gijzeling,Totaal,2017,1360
Pro forma,Snelheid,2017,0
Pro forma,Parkeren/stilstaan,2017,0
Pro forma,Verkeerslichten,2017,0
Pro forma,Overigen,2017,0
Pro forma,Totaal,2017,0
Totaal,Snelheid,2017,100296
Totaal,Parkeren/stilstaan,2017,18442
Totaal,Verkeerslichten,2017,8505
Totaal,Overigen,2017,142403
Totaal,Totaal,2017,269646
Rijbewijs,Snelheid,2018,44950
Rijbewijs,Parkeren/stilstaan,2018,7359
Rijbewijs,Verkeerslichten,2018,3756
Rijbewijs,Overigen,2018,39652
Rijbewijs,Totaal,2018,95717
Voertuig,Snelheid,2018,46134
