title,gender,price,source
T-shirt,dames,9.90,ca
Broek,dames,19.90,ca
Jurk,dames,24.90,ca
T-shirt,dames,19.90,ca
Legging,dames,14.90,ca
Longsleeve,dames,9.90,ca
Jurk - gestreept,dames,39.90,ca
Jurk,dames,34.90,ca
T-shirt,dames,7.90,ca
Jurk,dames,7.90,ca
Broek,dames,29.90,ca
Voedingsjurk,dames,24.90,ca
Kimono,dames,29.90,ca
Sportshorts,dames,12.90,ca
Topje,dames,9.90,ca
Rok - gestreept,dames,12.90,ca
Cargobroek,dames,14.90,ca
Rok - geruit,dames,12.90,ca
Jumpsuit,dames,19.90,ca
Voedingsjurk,dames,29.90,ca
Shorts,dames,5.00,ca
Blouse,dames,9.90,ca
Topje,dames,5.00,ca
Rok,dames,14.90,ca
Topje,dames,9.90,ca
Regenjack,dames,39.90,ca
Fit & flare-jurk,dames,14.90,ca
Joggingbroek,dames,19.90,ca
Strohoed,dames,9.90,ca
Blousetop,dames,5.00,ca
T-shirt,dames,5.00,ca
Jumpsuit,dames,24.90,ca
Jumpsuit,dames,12.90,ca
T-shirt,dames,5.00,ca
Zwangerschapsjurk,dames,39.90,ca
Jurk - ribstof,dames,12.90,ca
Shorts,dames,12.90,ca
Shorts - met stippen,dames,9.90,ca
Blouse,dames,12.90,ca
Shorts,dames,5.00,ca
Hoed,dames,9.90,ca
Broek,dames,19.90,ca
Blouse,dames,19.90,ca
Sport-topje,dames,12.90,ca
Broek,dames,24.90,ca
Blouse,dames,24.90,ca
Sportlegging,dames,19.90,ca
Blazer,dames,39.90,ca
Sport-bh - gewatteerd,dames,9.90,ca
THE SUPER SKINNY JEANS,dames,19.90,ca
THE CROP JEANS met riem,dames,29.90,ca
THE BERMUDA JEANS,dames,24.90,ca
Blouse - gestreept,dames,29.90,ca
Blouse,dames,29.90,ca
Blouse,dames,29.90,ca
Jurk,dames,49.90,ca
Rok,dames,29.90,ca
Broek,dames,29.90,ca
Cargobroek met riem,dames,14.90,ca
Jasje,dames,29.90,ca
Trui - glanseffect,dames,12.90,ca
Pyjamahemd - biokatoen,dames,4.90,ca
Longsleeve,dames,4.90,ca
Hipster,dames,3.90,ca
Blouse,dames,17.90,ca
T-shirt,dames,6.90,ca
Slip,dames,3.90,ca
Regenjack - met stippen,dames,29.90,ca
Blazer,dames,17.90,ca
THE C&A DEMI - gewatteerd,dames,7.90,ca
Longsleeve - gestreept,dames,7.90,ca
