,articlecode,category,heading,href,price,quality,swatches
0,0714825005,ladies_jumpsuits_short,Katoenen jumpsuit,/nl_nl/productpage.0714825005.html,24.99,,['Kakigroen']
1,0752512007,ladies_trousers_flare,Wijde broek,/nl_nl/productpage.0752512007.html,19.99,,['Donkergeel/dessin']
2,0760975005,ladies_shirtsblouses_blouses,Blouse met geknoopt detail,/nl_nl/productpage.0760975005.html,19.99,,['Donkerbeige/luipaarddessin']
3,0790096001,ladies_tops_shortsleeve,Top met turtleneck,/nl_nl/productpage.0790096001.html,9.99,,['Zwart']
4,0752516006,ladies_trousers_slim,Paperbagbroek van linnenmix,/nl_nl/productpage.0752516006.html,24.99,,['Zwart/zebradessin']
5,0754374007,ladies_tops_vests,Ribgebreide singlet,/nl_nl/productpage.0754374007.html,9.99,,['Wit']
6,0760975001,ladies_shirtsblouses_blouses,Blouse met geknoopt detail,/nl_nl/productpage.0760975001.html,19.99,,['Lichtbeige/zebradessin']
7,0752512006,ladies_trousers_flare,Wijde broek,/nl_nl/productpage.0752512006.html,19.99,,['Zwart']
8,0756130001,ladies_dresses_mididresses,Twill jurk met knoopsluiting,/nl_nl/productpage.0756130001.html,29.99,,['Wit']
9,0754374003,ladies_tops_vests,Ribgebreide singlet,/nl_nl/productpage.0754374003.html,9.99,,['Lichtbeige']
10,0751530002,ladies_shorts,Short - High waist,/nl_nl/productpage.0751530002.html,17.99,,['Lichtbruin']
11,0714825002,ladies_jumpsuits_short,Katoenen jumpsuit,/nl_nl/productpage.0714825002.html,24.99,,['Beige']
12,0750980001,ladies_jumpsuits_short,Jumpsuit van lyocell,/nl_nl/productpage.0750980001.html,34.99,,['Licht denimblauw']
13,0775311002,ladies_tops_bodys,Tricot body,/nl_nl/productpage.0775311002.html,14.99,,['Beige/luipaarddessin']
14,0760975006,ladies_shirtsblouses_blouses,Blouse met geknoopt detail,/nl_nl/productpage.0760975006.html,19.99,,['Wit']
15,0790096002,ladies_tops_shortsleeve,Top met turtleneck,/nl_nl/productpage.0790096002.html,9.99,,['Wit']
16,0739144007,ladies_shorts,Wijde short,/nl_nl/productpage.0739144007.html,9.99,,['Lichtbeige/zebradessin']
17,0754374001,ladies_tops_vests,Ribgebreide singlet,/nl_nl/productpage.0754374001.html,9.99,,['Zwart']
