,articlecode,category,heading,href,price,quality,swatches
0,0687635002,men_shorts_basics,Sweatshort,/nl_nl/productpage.0687635002.html,9.99,,['Lichtgrijs gemêleerd']
1,0471714014,men_shorts,Knielange katoenen short,/nl_nl/productpage.0471714014.html,9.99,,['Donkerblauw']
2,0793704001,men_tshirtstanks_shortsleeve,Lang T-shirt,/nl_nl/productpage.0793704001.html,12.99,,['Zwart']
3,0779341003,men_trousers_chinos,Katoenen chino,/nl_nl/productpage.0779341003.html,14.99,,['Donkerblauw']
4,0576661016,men_shorts_cargo,Utilityshort van twill,/nl_nl/productpage.0576661016.html,29.99,,['Kakigroen/dessin']
5,0471714036,men_shorts,Knielange katoenen short,/nl_nl/productpage.0471714036.html,9.99,,['Kakigroen']
6,0647207004,men_socks,5 paar sokken,/nl_nl/productpage.0647207004.html,9.99,,['Grijs gemêleerd']
7,0695407001,men_shirts_shortsleeved,Casual overhemd,/nl_nl/productpage.0695407001.html,14.99,,['Geel/dessin']
8,0717196002,men_shorts,Katoenen short,/nl_nl/productpage.0717196002.html,9.99,,['Donker kakigroen']
9,0684021024,men_tshirtstanks_shortsleeve,T-shirt met motief,/nl_nl/productpage.0684021024.html,6.99,,['Lichtgeel/Beach more']
10,0699925001,men_shorts_cargo,Utilityshort - Slim Fit,/nl_nl/productpage.0699925001.html,19.99,,['Zwart']
11,0684021026,men_tshirtstanks_shortsleeve,T-shirt met motief,/nl_nl/productpage.0684021026.html,6.99,,['Abrikoos/NYC']
12,0711529002,men_shorts_cargo,Katoenen utilityshort,/nl_nl/productpage.0711529002.html,24.99,,['Kakigroen']
13,0752742007,men_tshirtstanks_tanks,Katoenen tanktop,/nl_nl/productpage.0752742007.html,6.99,,['Wit/Cold as ice']
14,0777397001,men_shorts_cargo,Utilityshort,/nl_nl/productpage.0777397001.html,19.99,,['Zwart']
15,0695407002,men_shirts_shortsleeved,Casual overhemd,/nl_nl/productpage.0695407002.html,14.99,,['Beige/luipaarddessin']
16,0630325024,men_tshirtstanks_shortsleeve,T-shirt met print,/nl_nl/productpage.0630325024.html,9.99,,['Lichtoranje/doodshoofd']
17,0630325027,men_tshirtstanks_shortsleeve,T-shirt met print,/nl_nl/productpage.0630325027.html,9.99,,['Wit/Venice Beach']
18,0762917001,men_tshirtstanks_tanks,Tanktop van mesh,/nl_nl/productpage.0762917001.html,9.99,,['Donkerblauw/New York']
19,0730013004,men_shorts_denim,Denim short - Slim fit,/nl_nl/productpage.0730013004.html,24.99,,['Denimblauw']
20,0694061001,men_jacketscoats_bomberjackets,Pilotenjack van nylonmix,/nl_nl/productpage.0694061001.html,39.99,,['Donkerblauw']
21,0730013005,men_shorts_denim,Denim short - Slim fit,/nl_nl/productpage.0730013005.html,24.99,,['Licht denimblauw']
22,0488561003,men_shorts,Knielange katoenen short,/nl_nl/productpage.0488561003.html,19.99,,['Lichtgrijs']
23,0721390009,men_trousers_trousers_slim_all,Twill broek - Slim fit,/nl_nl/productpage.0721390009.html,19.99,,['Wit']
24,0793779001,men_trousers_casual,Linnen broek – Relaxed Fit,/nl_nl/productpage.0793779001.html,29.99,PREMIUM QUALITY,['Lichtbeige']
25,0706274001,men_shirts_longsleeved,Overhemd - Regular fit,/nl_nl/productpage.0706274001.html,24.99,,['Lichtblauw/wit gestreept']
26,0737311003,men_shirts_casual,Overhemd – Regular Fit,/nl_nl/productpage.0737311003.html,19.99,,['Wit']
27,0634744010,men_jacketscoats_bikerjackets,Bikerjack,/nl_nl/productpage.0634744010.html,49.99,,['Zwart']
28,0783217001,men_blazerssuits_trousers,Kostuumpantalon – Skinny Fit,/nl_nl/productpage.0783217001.html,19.99,,['Beige/geruit']
29,0674180004,men_tshirtstanks_shortsleeve,Set van 2 henleyshirts,/nl_nl/productpage.0674180004.html,17.99,,['Kakigroen/grijs gemêleerd']
30,0598755002,men_tshirtstanks_shortsleeve,Lang T-shirt,/nl_nl/productpage.0598755002.html,7.99,,['Wit']
31,0598755015,men_tshirtstanks_shortsleeve,Lang T-shirt,/nl_nl/productpage.0598755015.html,7.99,,['Donkergroen gemêleerd']
32,0474461002,men_shorts,Chinoshort,/nl_nl/productpage.0474461002.html,14.99,,['Donkerblauw']
33,0781758001,men_shirts_dressed,Easy Iron-overhemd – Slim Fit,/nl_nl/productpage.0781758001.html,14.99,,['Wit']
34,0628642006,men_trousers_dressed,Linnen pantalon - Slim fit,/nl_nl/productpage.0628642006.html,29.99,PREMIUM QUALITY,['Donkerblauw']
35,0488561021,men_shorts,Knielange katoenen short,/nl_nl/productpage.0488561021.html,19.99,,['Donkergrijs']
36,0685816002,men_tshirtstanks_shortsleeve,Katoenen T-shirt - Regular Fit,/nl_nl/productpage.0685816002.html,4.99,,['Zwart']
37,0501616007,men_shirt_dressed_slimfit,Easy Iron-overhemd - Slim fit,/nl_nl/productpage.0501616007.html,14.99,,['Wit']
38,0699924003,MEN_TSHIRTSTANKS_POLO,Poloshirt,/nl_nl/productpage.0699924003.html,9.99,,['Donkerblauw']
39,0699580002,men_trousers_joggers,Joggers van linnenmix,/nl_nl/productpage.0699580002.html,19.99,,['Kakigroen']
40,0685816001,men_tshirtstanks_shortsleeve,Katoenen T-shirt - Regular Fit,/nl_nl/productpage.0685816001.html,4.99,,['Wit']
41,0533406020,men_sport_bottoms,Sportjoggers,/nl_nl/productpage.0533406020.html,29.99,,['Donkerblauw']
42,0752860001,men_sport_bottoms,Sportshort,/nl_nl/productpage.0752860001.html,24.99,,['Zwart']
43,0602673015,men_jacketscoats_bomberjackets,Pilotenjack van nylonmix,/nl_nl/productpage.0602673015.html,29.99,,['Donker kakigroen']
44,0699924007,MEN_TSHIRTSTANKS_POLO,Poloshirt,/nl_nl/productpage.0699924007.html,9.99,,['Lichtblauw gemêleerd']
45,0699924005,MEN_TSHIRTSTANKS_POLO,Poloshirt,/nl_nl/productpage.0699924005.html,9.99,,['Zwart']
46,0397688006,men_shorts_denim,Denim short,/nl_nl/productpage.0397688006.html,11.99,,['Denimblauw']
47,0593414002,men_tshirtstanks_shortsleeve,T-shirt met motief,/nl_nl/productpage.0593414002.html,3.99,,['Donkergrijs gemêleerd']
48,0722475005,men_shirt_dressed_slimfit,Easy Iron-overhemd - Slim fit,/nl_nl/productpage.0722475005.html,14.99,,['Zwart']
49,0593414001,men_tshirtstanks_shortsleeve,T-shirt met motief,/nl_nl/productpage.0593414001.html,3.99,,['Grijs gemêleerd']
50,0656677010,men_shirts,Casual overhemd - Relaxed fit,/nl_nl/productpage.0656677010.html,9.99,,['Zwart/palmbomen']
51,0699924024,MEN_TSHIRTSTANKS_POLO,Poloshirt,/nl_nl/productpage.0699924024.html,9.99,,['Rood']
52,0684021022,men_tshirtstanks_shortsleeve,T-shirt met motief,/nl_nl/productpage.0684021022.html,6.99,,['Zwart/Love & order']
53,0633162013,men_tshirtstanks_shortsleeve,T-shirt met print,/nl_nl/productpage.0633162013.html,12.99,,['Wit/rozen']
54,0589549007,men_shorts_denim,Straight Denim Short,/nl_nl/productpage.0589549007.html,24.99,,['Zwart washed out']
55,0750694002,men_shirts_shortsleeved,Casual overhemd van viscose,/nl_nl/productpage.0750694002.html,12.99,,['Kakigroen']
56,0750694001,men_shirts_shortsleeved,Casual overhemd van viscose,/nl_nl/productpage.0750694001.html,12.99,,['Zwart']
57,0695407006,men_shirts_shortsleeved,Casual overhemd,/nl_nl/productpage.0695407006.html,14.99,,['Bordeauxrood/wit gestreept']
58,0767085001,men_shirts_shortsleeved,Casual overhemd - Relaxed Fit,/nl_nl/productpage.0767085001.html,24.99,,['Lichtgrijs/dessin']
59,0474471020,men_shorts,Twill short,/nl_nl/productpage.0474471020.html,19.99,,['Bruin']
60,0736767001,men_shorts,Sweatshort,/nl_nl/productpage.0736767001.html,14.99,,['Lichtgrijs gemêleerd/NASA']
61,0742258001,men_hoodiessweatshirts_hoodies,Capuchonsweater,/nl_nl/productpage.0742258001.html,19.99,,['Geel']
62,0769010002,men_shirts_shortsleeved,Casual overhemd met dessin,/nl_nl/productpage.0769010002.html,14.99,,['Donkerblauw/dessin']
63,0782901002,men_tshirtstanks_shortsleeve,T-shirt met print,/nl_nl/productpage.0782901002.html,14.99,,['Zwart/NASA']
64,0609813007,men_shirts_casual,Casual overhemd van cupromix,/nl_nl/productpage.0609813007.html,39.99,,['Zwart']
65,0760699001,men_shirts_shortsleeved,Casual overhemd - Relaxed Fit,/nl_nl/productpage.0760699001.html,24.99,,['Donkerblauw/bladdessin']
66,0695407005,men_shirts_shortsleeved,Casual overhemd,/nl_nl/productpage.0695407005.html,14.99,,['Donkerblauw/palmbomen']
67,0683385002,men_shirts_shortsleeved,Casual overhemd met dessin,/nl_nl/productpage.0683385002.html,24.99,,['Lichtgrijs/bladdessin']
68,0683378001,men_shirts_shortsleeved,Casual overhemd met dessin,/nl_nl/productpage.0683378001.html,24.99,,['Paars/dessin']
69,0609813011,men_shirts_casual,Casual overhemd van cupromix,/nl_nl/productpage.0609813011.html,39.99,,['Donkerblauw/dessin']
70,0474471002,men_shorts,Twill short,/nl_nl/productpage.0474471002.html,19.99,,['Donkerblauw']
71,0744306003,men_trousers_chinos_slim_all,Katoenen chino - Slim fit,/nl_nl/productpage.0744306003.html,24.99,,['Beige']
72,0570004005,MEN_TSHIRTSTANKS_POLO,Poloshirt - Slim fit,/nl_nl/productpage.0570004005.html,9.99,,['Turkoois gemêleerd']
73,0474471001,men_shorts,Twill short,/nl_nl/productpage.0474471001.html,19.99,,['Zwart']
74,0744306001,men_trousers_chinos_slim_all,Katoenen chino - Slim fit,/nl_nl/productpage.0744306001.html,24.99,,['Zwart']
75,0474471006,men_shorts,Twill short,/nl_nl/productpage.0474471006.html,19.99,,['Wit']
76,0782616001,men_tshirtstanks_shortsleeve,T-shirt met print,/nl_nl/productpage.0782616001.html,12.99,,['Wit/bloemen']
77,0782616004,men_tshirtstanks_shortsleeve,T-shirt met print,/nl_nl/productpage.0782616004.html,12.99,,['Zwart/palmbomen']
78,0649440022,men_tshirtstanks_shortsleeve,Top met motief,/nl_nl/productpage.0649440022.html,9.99,,['Zwart/reflecterend']
79,0474471003,men_shorts,Twill short,/nl_nl/productpage.0474471003.html,19.99,,['Beige']
