gemeente,gemeente_id,bureau_label,bureau_zip,total_counted,cast,votes_ongeldig,votes_blanco,CDA,"AWPenLRR niet politiek, wel lokaal",Water Natuurlijk,Partij van de Arbeid (P.v.d.A.),VVD,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,ChristenUnie,50PLUS,Ons Water,West-Brabant Waterbreed,AWP niet politiek wel deskundig,Werken aan Water,Ouderen Appèl - Hart voor Water,"Groen, Water & Land",Natuurlijk BBW,Lokaal Waterbeheer,Verenigde Senioren Partij,ChristenUnie-SGP,Integer Liberaal,Partij Sociaal Cultureel Centrum (PSCC),Blanco lijst Gerritsen,Waterschapspartij PUUR.,Gemeentebelangen Drenthe~Overijssel,FNP,Lagere Lasten Burger,Waterbelang Venlo,Waterbelang Midden-Limburg,Waterbelang Heuvelland,Waterbelang Land van Weert + Leudal,Waterbelang Westelijke Mijnstreek,Waterbelang Venray en Maasduinen,Waterbelang Horst-Helden-Beesel,Waterbelang Parkstad,Lokaal Limburg,Waterbelang Maastricht,Waterschap@inwonersbelangen,"AWP niet politiek, wel deskundig",Waterschapspartij Zeeuws-Vlaanderen,Partij voor Zeeland,AWP Niet Politiek Wel Deskundig,Waterschapspartij Hollandse Delta,Hollandse Delta Natuurlijk,OUDERENPARTIJ,,Trots op Nederland (TROTS),Blanco lijst Capelle,SGP-ChristenUnie,Ons-Platteland,De Groenen,Socialistische Waterschapsvereniging,Forum Duurzaam Effectief Waterschap,De Republikeinse Politieke Partij,QUEER,Vrienden van de Berkel,Vereniging Dorpshuizen en Kleine Kernen,Betaalbaar Water,"Water, Wonen en Natuur",ChristenUnie/SGP,Werk aan Water Flevoland,OPA,votes_ongeldig_percentage,total_counted_percentage,"AWPenLRR niet politiek, wel lokaal_percentage",Partij van de Arbeid (P.v.d.A.)_percentage,CDA_percentage,votes_blanco_percentage,Partij voor de Dieren_percentage,ChristenUnie_percentage,cast_percentage,VVD_percentage,Staatkundig Gereformeerde Partij (SGP)_percentage,Water Natuurlijk_percentage,50PLUS_percentage,AWP niet politiek wel deskundig_percentage,Ons Water_percentage,West-Brabant Waterbreed_percentage,Werken aan Water_percentage,Ouderen Appèl - Hart voor Water_percentage,"Groen, Water & Land_percentage",Natuurlijk BBW_percentage,Verenigde Senioren Partij_percentage,Lokaal Waterbeheer_percentage,Partij Sociaal Cultureel Centrum (PSCC)_percentage,ChristenUnie-SGP_percentage,Integer Liberaal_percentage,Blanco lijst Gerritsen_percentage,Waterschapspartij PUUR._percentage,Gemeentebelangen Drenthe~Overijssel_percentage,FNP_percentage,Lagere Lasten Burger_percentage,Waterbelang Horst-Helden-Beesel_percentage,Waterbelang Maastricht_percentage,Waterbelang Parkstad_percentage,Waterbelang Venlo_percentage,Lokaal Limburg_percentage,Waterbelang Westelijke Mijnstreek_percentage,Waterbelang Midden-Limburg_percentage,Waterbelang Heuvelland_percentage,Waterbelang Land van Weert + Leudal_percentage,Waterbelang Venray en Maasduinen_percentage,Waterschap@inwonersbelangen_percentage,"AWP niet politiek, wel deskundig_percentage",AWP Niet Politiek Wel Deskundig_percentage,Partij voor Zeeland_percentage,Waterschapspartij Zeeuws-Vlaanderen_percentage,Waterschapspartij Hollandse Delta_percentage,Hollandse Delta Natuurlijk_percentage,OUDERENPARTIJ_percentage,None_percentage,Trots op Nederland (TROTS)_percentage,Blanco lijst Capelle_percentage,Ons-Platteland_percentage,SGP-ChristenUnie_percentage,QUEER_percentage,De Republikeinse Politieke Partij_percentage,Forum Duurzaam Effectief Waterschap_percentage,Socialistische Waterschapsvereniging_percentage,De Groenen_percentage,Vrienden van de Berkel_percentage,Vereniging Dorpshuizen en Kleine Kernen_percentage,Betaalbaar Water_percentage,"Water, Wonen en Natuur_percentage",Werk aan Water Flevoland_percentage,OPA_percentage,ChristenUnie/SGP_percentage
Zaltbommel,0297,Stembureau Stadhuis,5301 AL,949,1575,5,21,167,85,193,148,154,12,113,22,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005268703898840885,1.0,0.08956796628029505,0.1559536354056902,0.17597471022128555,0.022128556375131718,0.11907270811380401,0.023182297154899896,1.6596417281348788,0.16227608008429925,0.012644889357218124,0.20337197049525815,0.05795574288724974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zaltbommel,0297,Stembureau Brede school de Waluwe cult café,5301 RT,863,1409,5,17,158,76,145,144,142,16,72,28,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005793742757821553,1.0,0.0880648899188876,0.16685979142526072,0.18308227114716108,0.019698725376593278,0.08342989571263036,0.03244495944380069,1.6326767091541134,0.1645422943221321,0.01853997682502897,0.16801853997682503,0.09501738122827347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zaltbommel,0297,Stembureau Brandweerkazerne,5301 HK,612,1409,2,6,105,42,96,118,87,18,46,34,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0032679738562091504,1.0,0.06862745098039216,0.19281045751633988,0.1715686274509804,0.00980392156862745,0.07516339869281045,0.05555555555555555,2.302287581699346,0.14215686274509803,0.029411764705882353,0.1568627450980392,0.10784313725490197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zaltbommel,0297,Stembureau De Grote Aak,5301 GX,767,1249,4,4,148,59,145,130,93,15,81,24,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005215123859191656,1.0,0.07692307692307693,0.1694915254237288,0.19295958279009126,0.005215123859191656,0.10560625814863103,0.03129074315514994,1.6284224250325945,0.121251629726206,0.01955671447196871,0.18904823989569752,0.0938722294654498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zaltbommel,0297,Stembureau Brede school  'de Zandkampen',5301 WE,693,1127,3,7,120,54,157,116,66,10,72,40,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004329004329004329,1.0,0.07792207792207792,0.1673881673881674,0.17316017316017315,0.010101010101010102,0.1038961038961039,0.05772005772005772,1.6262626262626263,0.09523809523809523,0.01443001443001443,0.22655122655122656,0.0836940836940837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zaltbommel,0297,Stembureau Wijkcentrum de Schans,5301 JK,703,995,5,12,155,64,118,100,99,18,61,34,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007112375533428165,1.0,0.09103840682788052,0.1422475106685633,0.22048364153627312,0.017069701280227598,0.08677098150782361,0.04836415362731152,1.4153627311522048,0.14082503556187767,0.025604551920341393,0.1678520625889047,0.07681365576102418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zaltbommel,0297,Stembureau Dorpshuis Kerkwijk,5315 AL,450,792,1,1,117,18,30,27,66,97,21,41,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0022222222222222222,1.0,0.04,0.06,0.26,0.0022222222222222222,0.04666666666666667,0.09111111111111111,1.76,0.14666666666666667,0.21555555555555556,0.06666666666666667,0.07333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zaltbommel,0297,Stembureau Eben Haëzer Bruchem,5314 AX,805,1301,1,7,216,34,54,44,82,142,37,153,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0012422360248447205,1.0,0.0422360248447205,0.0546583850931677,0.2683229813664596,0.008695652173913044,0.04596273291925466,0.19006211180124225,1.6161490683229813,0.10186335403726708,0.1763975155279503,0.0670807453416149,0.05341614906832298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zaltbommel,0297,Stembureau Zorgcentrum  't Slot,5311 CM,882,1266,6,16,181,24,65,49,111,288,44,89,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006802721088435374,1.0,0.027210884353741496,0.05555555555555555,0.20521541950113378,0.018140589569160998,0.049886621315192746,0.10090702947845805,1.435374149659864,0.12585034013605442,0.32653061224489793,0.07369614512471655,0.035147392290249435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zaltbommel,0297,Stembureau Ons Trefpunt,5313 AP,369,622,0,3,67,12,30,21,37,146,13,30,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.032520325203252036,0.056910569105691054,0.18157181571815717,0.008130081300813009,0.03523035230352303,0.08130081300813008,1.6856368563685638,0.1002710027100271,0.3956639566395664,0.08130081300813008,0.03523035230352303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zaltbommel,0297,Stembureau Dorpshuis de Gaarde,5317 JS,810,1226,0,3,109,11,27,11,67,458,8,76,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.013580246913580247,0.013580246913580247,0.1345679012345679,0.003703703703703704,0.009876543209876543,0.09382716049382717,1.5135802469135802,0.08271604938271605,0.5654320987654321,0.03333333333333333,0.05308641975308642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zaltbommel,0297,Stembureau Huis Brakel,5306 BC,535,1171,3,2,113,16,33,30,58,181,14,65,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005607476635514018,1.0,0.029906542056074768,0.056074766355140186,0.21121495327102804,0.003738317757009346,0.026168224299065422,0.12149532710280374,2.188785046728972,0.10841121495327102,0.3383177570093458,0.0616822429906542,0.04672897196261682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
